pair,date,open,high,low,close,max_up_pips,max_down_pips,max_profit,max_loss,daily_return,rolling_std,label,high_impact_count,medium_impact_count,low_impact_count,max_z_score,sum_signal,dominant_direction,max_surprise_z,sum_signal_surprise
USDJPY,2025-05-01,142.951,145.741,142.875,145.281,27900,760,1.9517177214570167,-0.0531650705486449,1.6299291365572908,0.9439635739842732,3.0,3.0,1.0,7.0,1.575309299489831,-0.8296980116905732,-0.22328575946179827,2.0093440826100406,-2.2186401059276353
USDJPY,2025-05-02,145.283,145.924,143.725,144.918,6410,15580,0.4412078495075264,-1.0723897496610015,-0.251233798861519,0.9327103376326052,1.0,3.0,0.0,3.0,1.5988927906576578,0.9251662970859136,0.34516977679009336,1.5988927906576578,0.711183188829618
USDJPY,2025-05-05,144.862,144.989,143.535,143.7,1270,13270,0.0876696442131197,-0.9160442352031576,-0.8021427289420319,0.8796392781132741,1.0,1.0,0.0,1.0,1.1822860399231785,-0.3226178975705031,-0.44786499623614334,1.0933466931815812,-0.23367855082890576
USDJPY,2025-05-06,143.695,144.275,142.347,142.416,5800,13480,0.4036326942482428,-0.9380980549079544,-0.8900796826611896,0.875780310140409,5.0,0.0,0.0,3.0,0.3804779240265971,-0.7776884474484539,-0.25922948248281796,0.6097329722976922,-1.5097303287364974
USDJPY,2025-05-07,142.42,143.999,142.389,143.763,15790,310,1.1086925993540289,-0.0217666058137743,0.9429855357393748,0.8874850467145873,6.0,1.0,0.0,1.0,0.3526637628424595,-0.9452069800478858,-0.1199397271814834,0.3526637628424595,-0.9452069800478858
USDJPY,2025-05-08,143.762,146.177,143.44,145.91,24150,3220,1.679859768228038,-0.2239813024304077,1.494136141678605,0.8460415218327675,2.0,1.0,0.0,7.0,0.7158672795617134,-3.605161223055795,-0.2752605901728308,0.7158672795617134,-3.5091229582051575
USDJPY,2025-05-09,145.917,146.187,144.82,145.323,2700,10970,0.1850366989452978,-0.7517972546036503,-0.4070807376796357,0.8350174763838789,6.0,0.0,0.0,3.0,0.5082652330732577,-0.21118542077291164,-0.07039514025763721,0.5082652330732577,-0.21118542077291164
USDJPY,2025-05-12,146.141,148.651,145.694,148.35,25100,4470,1.717519381966744,-0.3058689895375033,1.5115539102647466,0.8809992377297026,2.0,0.0,0.0,5.0,2.08410034601092,1.833742610592875,0.366748522118575,2.08410034601092,1.7804021152355953
USDJPY,2025-05-13,148.32,148.456,147.369,147.453,1360,9510,0.0916936353829528,-0.6411812297734584,-0.5845469255663365,0.897014079086024,2.0,3.0,0.0,4.0,2.847699221816164,7.840861722422709,0.262762119029339,2.847699221816164,8.247964665199916
USDJPY,2025-05-14,147.472,147.67,145.601,146.63,1980,18710,0.1342627753064846,-1.2687154171639423,-0.5709558424650191,0.8717826418233954,1.0,0.0,0.0,2.0,0.5112652877235904,0.24074761725389476,0.12037380862694738,0.5112652877235904,0.24074761725389476
